region_name,id,latitude,longitude,http
Lincoln Heights,121751,38.89406,-76.924904,http://www.zillow.com/local-info/DC-Washington/Lincoln-Heights/r_121751/
Wakefield,268832,38.951937,-77.07147,http://www.zillow.com/local-info/DC-Washington/Wakefield/r_268832/
Garfield Heights,121727,38.853975,-76.967447,http://www.zillow.com/local-info/DC-Washington/Garfield-Heights/r_121727/
River Terrace,121780,38.89337,-76.955708,http://www.zillow.com/local-info/DC-Washington/River-Terrace/r_121780/
Carver,403507,38.90366,-76.976477,http://www.zillow.com/local-info/DC-Washington/Carver/r_403507/
Douglas,403501,38.849881,-76.981764,http://www.zillow.com/local-info/DC-Washington/Douglas/r_403501/
Fort Totten,273767,38.948277,-77.003277,http://www.zillow.com/local-info/DC-Washington/Fort-Totten/r_273767/
Shepherd Park,121786,38.982084,-77.03134,http://www.zillow.com/local-info/DC-Washington/Shepherd-Park/r_121786/
Southwest Federal Center,403489,38.884579,-77.020798,http://www.zillow.com/local-info/DC-Washington/Southwest-Federal-Center/r_403489/
Truxton Circle,121800,38.910462,-77.011293,http://www.zillow.com/local-info/DC-Washington/Truxton-Circle/r_121800/
Brightwood Park,121680,38.958555,-77.021391,http://www.zillow.com/local-info/DC-Washington/Brightwood-Park/r_121680/
Fort Lincoln,268811,38.924192,-76.95365,http://www.zillow.com/local-info/DC-Washington/Fort-Lincoln/r_268811/
East Corner,403496,38.894093,-76.91615,http://www.zillow.com/local-info/DC-Washington/East-Corner/r_403496/
NoMa,403490,38.901884,-77.007827,http://www.zillow.com/local-info/DC-Washington/NoMa/r_403490/
Fairlawn,121714,38.871372,-76.980922,http://www.zillow.com/local-info/DC-Washington/Fairlawn/r_121714/
Hillbrook,403497,38.896229,-76.932408,http://www.zillow.com/local-info/DC-Washington/Hillbrook/r_403497/
Skyland,403499,38.860788,-76.971719,http://www.zillow.com/local-info/DC-Washington/Skyland/r_403499/
Langdon,121748,38.922671,-76.975399,http://www.zillow.com/local-info/DC-Washington/Langdon/r_121748/
Burleith,121683,38.915545,-77.077037,http://www.zillow.com/local-info/DC-Washington/Burleith/r_121683/
Fort Davis,121718,38.868878,-76.943995,http://www.zillow.com/local-info/DC-Washington/Fort-Davis/r_121718/
